id,name,subdivision_id
101,adrar,101
102,tamest,105
104,reggane,106
105,in zghmir,106
106,tit,103
108,tsabit,101
111,zaouiet kounta,106
112,aoulef,103
113,timokten,103
114,tamentit,105
115,fenoughil,105
118,sali,106
119,akabli,103
121,ouled ahmed timmi,101
122,bouda,101
126,sbaa,101
201,chlef,201
202,tenes,209
203,benairia,210
204,el karimia,206
205,tadjena,202
206,taougrite,211
207,beni haoua,204
208,sobha,205
209,harchoun,206
210,ouled fares,208
211,sidi akkacha,209
212,boukadir,205
213,beni rached,207
214,talassa,202
215,harenfa,203
216,oued goussine,204
217,dahra,211
218,ouled abbes,207
219,sendjas,201
220,zeboudja,210
221,oued sly,205
222,abou el hassen,202
223,el marsa,213
224,chettia,208
225,sidi abderrahmane,209
226,moussadek,213
227,el hadjadj,212
228,labiod medjadja,208
229,oued fodda,207
230,ouled ben abdelkader,212
231,bouzghaia,210
232,ain merane,203
233,oum drou,201
234,breira,204
235,beni bouateb,206
301,laghouat,311
302,ksar el hirane,309
303,bennasser benchohra,309
304,sidi makhlouf,311
305,hisSm delaa,308
306,hassi rmel,308
307,AIN MADHI,302
308,tadjemout,302
309,kheneg,306
310,gueltat sidi saad,303
311,ain sidi ali,307
312,beidha,303
313,brida,304
314,el ghicha,305
315,hadj mechri,307
316,sebgag,301
317,taouiala,304
318,tadjrouna,306
319,aflou,301
320,el assafia,311
321,oued morra,310
322,oued mzi,310
323,el houaita,306
324,sidi bouzid,301
401,oum el bouaghi,401
402,ain beida,403
403,aïn m'lila,406
404,behir chergui,410
405,el amiria,411
406,sigus,411
407,el belala,409
408,ain babouche,402
409,berriche,403
410,ouled hamla,406
411,dhala,407
412,ain kercha,405
413,hanchir toumghani,405
414,el djazia,407
415,ain diss,402
416,f'kirina,408
417,souk naamane,412
418,zorg,403
419,el fedjouz boughrara saoudi,404
420,ouled zouai,412
421,bir chouhada,412
422,ksar sbahi,402
423,oued nini,408
424,meskiana,409
425,aïn fakroun,404
426,rahia,410
427,aïn zitoun,401
428,ouled gacem,406
429,el harmilia,405
501,batna,501
502,ghassira,520
503,maafa,503
504,merouana,511
505,seriana,516
506,menaa,510
507,el madher,508
508,tazoult,517
509,n'gaous,512
510,guigba,514
511,inoughissen,509
512,ouyoun el assafir,517
513,djerma,508
514,bitam,505
515,metkaouak,507
516,arris,504
517,kimmel,520
518,tilatou,515
519,ain djasser,502
520,ouled sellam,514
521,tigherghar,510
522,ain yagout,508
523,fesdis,501
524,sefiane,512
525,rahbat,514
526,tighanimine,504
527,lemsane,513
528,ksar belezma,511
529,seggana,515
530,ichmoul,509
531,foum toub,509
532,beni foudhala el hakania,503
533,oued el ma,511
534,talkhamt,514
535,bouzina,510
536,chemora,506
537,oued chaaba,501
538,taxlent,513
539,gosbat,514
540,ouled aouf,503
541,boumagueur,512
542,barika,505
543,djezzar,507
544,tkoutt,520
545,ain touta,503
546,hidoussa,511
547,teniet el abed,518
548,oued taga,518
549,ouled fadel,519
550,timgad,519
551,ras el aioun,514
552,chir,518
553,ouled si slimane,513
554,zanet beida,516
555,amdoukal,505
556,ouled ammar,507
557,el hassi,502
558,lazrou,516
559,boumia,508
560,boulhilat,506
561,larbaa,510
601,bejaia,601
602,amizour,604
603,ferraoun,604
604,taourirt ighil,602
605,chellata,603
606,tamokra,607
607,timezrit,613
608,souk el thenine,611
609,m'cisna,609
610,tinebdar,610
611,tichi,605
612,semaoun,604
613,kendira,604
614,tifra,610
615,ighram,603
616,amalou,609
617,ighil ali,607
618,fenaïa ilmaten,606
619,toudja,606
620,darguina,608
621,sidi ayad,610
622,aokas,605
623,beni djellil,604
624,adekar,602
625,akbou,603
626,seddouk,609
627,tazmalt,612
628,ait r'zine,607
629,chemini,610
630,souk oufella,610
631,taskriout,608
632,tibane,610
633,tala hamza,601
634,barbacha,604
635,beni ksila,602
636,ouzellaguen,603
637,bou hamza,609
638,beni  melikeche,612
639,sidi aich,610
640,el kseur,606
641,melbou,611
642,akfadou,610
643,leflaye,610
644,kherrata,608
645,draa kaid,608
646,tamridjet,611
647,ait smail,608
648,boukhelifa,601
649,tizi n'berber,605
650,beni maouche,609
651,oued ghir,601
652,boudjellil,612
701,biskra,701
702,oumache,702
703,branis,703
704,chetma,708
711,sidi okba,708
712,m'chouneche,708
713,el haouch,708
714,ain naga,708
715,zeribet el oued,710
716,el feidh,710
717,el kantara,704
718,ain zaatout,704
719,el outaya,704
720,djemorah,703
721,tolga,709
722,lioua,702
723,lichana,709
724,ourlal,702
725,mlili,702
726,foughala,705
727,bordj ben azzouz,709
728,meziraa,710
729,bouchagroune,709
730,mekhadma,702
731,el ghrous,705
732,el hadjeb,701
733,khenguet sidi nadji,710
801,bechar,801
802,erg ferradj,802
804,meridja,806
806,lahmar,809
809,mechraa houari boumediene,802
810,kenadsa,806
813,taghit,812
815,boukais,809
816,mougheul,809
817,abadla,802
821,beni ounif,804
901,blida,901
902,chebli,902
903,bouinen,904
904,oued alleug,910
907,ouled yaich,911
908,chrea,911
910,el affroun,906
911,chiffa,909
912,hammam melouane,903
913,ben khéllil,902
914,soumaa,904
916,mouzaia,909
917,souhane,907
918,meftah,908
919,ouled selama,903
920,boufarik,902
921,larbaa,907
922,oued djer,906
923,beni tamou,910
924,bouarfa,901
925,beni mered,911
926,bougara,903
927,guerrouaou,904
928,ain romana,909
929,djebabra,908
1001,bouira,1001
1002,el asnam,1006
1003,guerrouma,1011
1004,souk el khemis,1013
1005,kadiria,1010
1006,hanif,1009
1007,dirah,1005
1008,ait laaziz,1001
1009,taghzout,1008
1010,raouraoua,1003
1011,mezdour,1004
1012,haizer,1008
1013,lakhdaria,1011
1014,maala,1011
1015,el hachimia,1007
1016,aomar,1010
1017,chorfa,1012
1018,bordj okhriss,1004
1019,el adjiba,1009
