id,name,wilaya_id
101,ADRAR,1
103,AOULEF,1
105,FENOUGHIL,1
106,REGGANE,1
201,CHLEF,2
202,ABOU EL HASSEN,2
203,AIN MERANE,2
204,BENI HAOUA,2
205,BOUKADIR,2
206,EN KARIMIA,2
207,OUED FODDA,2
208,OULED FARES,2
209,TENES,2
210,ZEBOUDJA,2
211,TAOUGRIT,2
212,OULED BEN AEK,2
213,EL MARSA,2
301,AFLOU,3
302,AIN MADHI,3
303,BEIDHA,3
304,BRIDA,3
305,EL GUICHA,3
306,EL HOUITA,3
307,HADJ MECHERI,3
308,HASSI RMEL,3
309,KSAR EL HIRANE,3
310,OUED MORRA,3
311,SIDI MAKHLOUF,3
401,OUM EL BOUAGHI,4
402,AIN BABOUCHE,4
403,AIN BEIDA,4
404,AIN FEKROUNE,4
405,AIN KERCHA,4
406,AIN MLILA,4
407,DHALA,4
408,FKIRINIA,4
409,MESKIANA,4
410,RAHIA,4
411,SIGUS,4
412,SOUK NAAMANE,4
501,BATNA,5
502,AIN DJASSER,5
503,AIN TOUTA,5
504,ARRIS,5
505,BARIKA,5
506,CHEMORA,5
507,DJEZZAR,5
508,EL MADHER,5
509,ICHMOUL,5
510,MENAA,5
511,MEROUANA,5
512,NGOUS,5
513,OULED SI SLIMANE,5
514,RAS EL AIOUN,5
515,SEGGANA,5
516,SERIANA,5
517,TAZOULT,5
518,TENIET EL ABED,5
519,TIMGAD,5
520,TKOUT,5
601,BEJAIA,6
602,ADEKAR,6
603,AKBOU,6
604,AMIZOUR,6
605,AOKAS,6
606,EL KSEUR,6
607,IGHIL ALI,6
608,KHERRATA,6
609,SEDDOUK,6
610,SIDI AICH,6
611,SOUK EL THENINE,6
612,TAZMALT,6
613,TIMZRIT,6
701,BISKRA,7
702,OURLAL,7
703,DJEMORAH,7
704,EL OUTAYA,7
705,FOUGHALA,7
708,SIDI OKBA,7
709,TOLGA,7
710,ZERIBET EL OUED,7
801,BECHAR,8
802,ABADLA,8
804,BENI OUNIF,8
806,KENADSA,8
809,LAHMAR,8
812,TAGHIT,8
901,BLIDA,9
902,BOUFARIK,9
903,BOUGARA,9
904,BOUINAN,9
906,EL AFFROUN,9
907,LARBAA,9
908,MEFTAH,9
909,MOUZAIA,9
910,OULED EL ALLEUG,9
911,OULED YAICH,9
1001,BOUIRA,10
1002,AIN BESSAM,10
1003,BIR GHBALOU,10
1004,BORDJ OUKHRISS,10
1005,DIRAH,10
1006,EL ASNAM,10
1007,EL HACHIMIA,10
1008,HAIZER,10
1009,HANIF,10
1010,KADIRIA,10
1011,LAKHDARIA,10
1012,MCHEDALLAH,10
1013,SOUK EL KHEMIS,10
1014,SOUR EL GHOZLANE,10
1101,TAMNGHASSET,11
1105,TAZROUK,11
1201,BIR EL ATER,12
1202,BIR EL MOKADEM,12
1203,CHERIA,12
1204,EL AOUINET,12
1205,EL KOUIF,12
1206,EL MA EL BIOD,12
1207,EL OGLA ,12
